original,modelled
BEECH,
SUGAR_MAPL,
RED_MAPLE,
YELLOW_BIR,
WHITE_BIRC,
BLACK_BIRC,
WHITE_ASH,
BLACK_ASH,
HEMLOCK,
BASSWOOD,
ELMS,
WHITE_PINE,
HARD__PITC,
HICKORIES,
SPRUCES,
FIR,
CEDAR,
RED_OAKS,
WHITE_OAK,
CHESTNUT,
SPANISH_OA,
BLACK_OAK_,
CHESTNUT,
IRONWOODS,
ASPEN,
CHERRIES,
NYSSA,
BUTTERNUT,
B_WALNUT,
BUTTONWOOD,
LIRIODENDR,
DOGWOOD,
LOCUST,OTHER
AMEL_PLUM,OTHER
WILLOW,OTHER
CRAB_THORN,OTHER
BLUE_BEECH,OTHER
MAGNOLIA,OTHER
CHAMAE_IS,OTHER
TAMARACK,OTHER
SWAMP_OAKS,OTHER
RED_PINE,OTHER
